Node,Level,Total Cost,Priority Queue Size,Distance,Elapsed Time
David Perry,19,0.535602331161499,7158,56,211.627
Dave Perry,20,0.5059439837932590,7170,57,213.045
David Perry (cricketer),20,0.5424556732177730,7177,58,214.368
David Perry (entrepreneur),20,0.5547926127910610,7182,59,216.114
David Perry (politician),20,0.5607953667640690,7220,60,217.813
Chris Toney,21,0.5494257807731630,7345,61,221.549
Dave Perry (law enforcement),20,0.5609471797943120,7467,62,225.713
Bruno Brown,17,0.5623606443405150,7471,63,228.929
Chris Kelly (rugby union),18,0.5623827576637270,7707,64,234.193
Mike Ross (rugby union),15,0.5653461217880250,7706,65,234.332
David Perry (Australian filmmaker),20,0.5669823884963990,7782,66,236.834
Brian Carney (rugby),16,0.5675258636474610,7816,67,238.519
Chris Joynt,17,0.546183168888092,7997,68,243.003
Nick Pinkney,18,0.5043430328369140,8257,69,249.28
Sean Hoppe,18,0.5466620326042180,8316,70,251.816
Gavin Hill,19,0.5054742693901060,8487,71,255.833
Kylie Leuluai,19,0.552702397108078,8603,72,259.084
Chris Clarkson,20,0.5046988427639010,8771,73,263.386
Marley Leuluai,20,0.531702309846878,8832,74,265.674
Chris Clarkson (politician),21,0.5572078227996830,8849,75,267.433
David Rutley,22,0.5572417378425600,8925,76,270.032
Chris Nahi,19,0.5603301227092740,9016,77,273.146
Evan Worrell,21,0.5675798654556270,9058,78,275.313
Simon Taylor (disambiguation),16,0.5681066513061520,9170,79,278.236
Simon Taylor,17,0.4781174063682560,9170,80,279.415
Simon Taylor (musician),18,0.4391012191772460,9179,81,280.848
Simon Taylor (artist),18,0.4575425386428830,9179,82,282.281
Simon Taylor (MP),18,0.5034915208816530,9194,83,283.624
Simon Taylor (sugar planter),18,0.5066540241241460,9211,84,285.153
Simon Taylor (journalist),18,0.5360196530818940,9272,85,287.533
"Simon Taylor (footballer, born 1982)",18,0.550368994474411,9284,86,288.916
Travis Cloke,19,0.502633810043335,9375,87,291.719
Gavin Brown (footballer),20,0.4774341583251950,9684,88,298.247
Dan Minogue,21,0.4768717885017400,9989,89,307.167
Dannii Minogue,22,0.49936407804489100,10314,90,314.049
Kylie Minogue,23,0.4621293544769290,10839,91,324.992
Prince (musician),24,0.42573416233062700,11784,92,343.651
Drake (musician),25,0.0,13330,93,373.339

"['Chemical Engineering', 'Chemical engineering', 'George E. Davis', 'George Davis (disambiguation)', 'George Davis', 'George Davies (disambiguation)', 'George Davies', 'George Davies (rugby union)', 'Rhys Gabe', 'David Bedell-Sivright', 'Gavin Hastings', 'Malcolm Dacey', 'Richie Collins', 'Phil Davies (rugby union)', 'Simon Easterby', 'Simon Taylor (rugby union)', 'Simon Taylor (disambiguation)', 'Simon Taylor', 'Simon Taylor (footballer, born 1982)', 'Travis Cloke', 'Gavin Brown (footballer)', 'Dan Minogue', 'Dannii Minogue', 'Kylie Minogue', 'Prince (musician)', 'Drake (musician)']"
